German,English
alt,old
neu,new
klein,small / short
groB,big / grand
reich,rich
arm,poor
krank,ill
gesund,healthy
hell,bright
dunkel,dark
leise,slow voice
laut,loud
gut,good
schlecht,bad
spät,late
früh,early
billing,cheap
teuer,expensive
müde,tired
lanweiling,boring
,
