Personal Pronoun,Verb Conjugation
Original → infinitive form of verbs,
,
Kommen → to come,
Ich,Komme
Du,Kommst
er/sie/es,Kommt
wir,Kommen
ihr,Kommt
sie,Kommen
Sie,Kommen
,
Trinken → to drink,
Ich,Trinke
Du,Trinkst
er/sie/es,Trinkt
wir,Trinken
ihr,Trinkt
sie,Trinken
Sie,Trinken
