English,German
Week Days,"Wochentage "
week,woche
days,tage
Monday,Der Montag
Tuesday,Der Dienstag
Wednesday,Der Mittwoch
Thursday,Der Donnerstag
Friday,Der Freitag
Saturday,Der Samstag
Sunday,Der Sonntag
