English,German
What are you studying/What do you study,Was Studieren Sie
I am learning german,Ich studiere Deutsch
Where does Pakistan lie,Wo liegt Pakistan
Pakistan lies in Aisa,Pakistan liegt in Asien
Where does Germany lie?,Wo liegt Deutschland
Germany lies in Europe,Deutschland liegt in Europa
What is your name,Wie ist Ihr Name
My name is abdullah,Mine name ist abdullah
