English,German
Hello,Hallo
Good Morning,Guten Morgen
Good Evening,Guten Abend
Good Night,Gute Nacht
Good Day,Guten Tag
What is your name,Wie Heißen Sie
My name is abdullah,Ich heiBe abdullah
I am from pakistan,Ich komme aus pakistan
Where do you live,Wo wohnen sie
I live in islamabad,Ich wohne in islamabad
What do you do,Was machen sie
I am student,Ich bin student
and What is your name,und wie heißen sie
Thanks,Danke
Please,Bitte
Sorry,Entschuldigung
Good Bye,Auf Wiedersehen
,
,
